index,repository,file_url,commit_count,commit_url
86,xiaowei1118/java_server,https://github.com/xiaowei1118/java_server/blob/5701a2c1afc9f35f8ef5c99fe985336b136b4f3b/src/main/java/com/changyu/foryou/tools/Sign.java,193,"https://github.com/xiaowei1118/java_server/commit/5701a2c1afc9f35f8ef5c99fe985336b136b4f3b
"
98,google/sagetv,https://github.com/google/sagetv/blob/213e01cd3597ff68bf13824281e9c463855b5f3a/java/sage/miniclient/MiniClientConnection.java,780,"https://github.com/google/sagetv/commit/213e01cd3597ff68bf13824281e9c463855b5f3a
"
100,jitsi/ice4j,https://github.com/jitsi/ice4j/blob/38e7b9226d6e1e790fe3b4ccacfeca64e9c2ed71/src/main/java/org/ice4j/attribute/MessageIntegrityAttribute.java,721,"https://github.com/jitsi/ice4j/commit/4aef25b91fc2359044e8cd113e472ff95ecbce97
"
98,google/sagetv,https://github.com/google/sagetv/blob/213e01cd3597ff68bf13824281e9c463855b5f3a/java/sage/FileDownloader.java,780,"https://github.com/google/sagetv/commit/213e01cd3597ff68bf13824281e9c463855b5f3a
"
98,google/sagetv,https://github.com/google/sagetv/blob/213e01cd3597ff68bf13824281e9c463855b5f3a/java/sage/SageTVConnection.java,780,"https://github.com/google/sagetv/commit/213e01cd3597ff68bf13824281e9c463855b5f3a
"
98,google/sagetv,https://github.com/google/sagetv/blob/213e01cd3597ff68bf13824281e9c463855b5f3a/java/sage/miniclient/MiniClient.java,780,"https://github.com/google/sagetv/commit/213e01cd3597ff68bf13824281e9c463855b5f3a
"
98,google/sagetv,https://github.com/google/sagetv/blob/213e01cd3597ff68bf13824281e9c463855b5f3a/java/sage/MiniClientSageRenderer.java,780,"https://github.com/google/sagetv/commit/213e01cd3597ff68bf13824281e9c463855b5f3a
"
100,jitsi/ice4j,https://github.com/jitsi/ice4j/blob/38e7b9226d6e1e790fe3b4ccacfeca64e9c2ed71/src/main/java/org/ice4j/stack/StunStack.java,721,"https://github.com/jitsi/ice4j/commit/4aef25b91fc2359044e8cd113e472ff95ecbce97
"
0,fernando-rodriguez/freexc16,https://github.com/fernando-rodriguez/freexc16/blob/95cad1ccc9568b9e83ddc25a28711011546a5c63/src/XC_GCC/gcc/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,cthulhuology/xilli,https://github.com/cthulhuology/xilli/blob/8089760871e5c1dc21d457bf657d343ba59c1184/src/gcc-6.2.0/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,basicthinker/libptm,https://github.com/basicthinker/libptm/blob/1ff11bd02f44829c15e2caf21db48c9304e5bdaa/gcc/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,tgsorrell/JikesRVM-for-Intentional-Concurrency,https://github.com/tgsorrell/JikesRVM-for-Intentional-Concurrency/blob/740641948e0ec74e51e7ddc0f3665ae4aa19962f/JikesRVM-3.1.4/components/classpath/99p16/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,Hellybean/SaberMod_ROM_Toolchain,https://github.com/Hellybean/SaberMod_ROM_Toolchain/blob/0c8345d7a174958e1f150f2e474f35f0cdfb4246/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,laozhuxinlu/gcc-4.9.1_install,https://github.com/laozhuxinlu/gcc-4.9.1_install/blob/3a85e97d2f789c3491dc5aefa5899090a027eb61/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,chaoyingfu/gcc,https://github.com/chaoyingfu/gcc/blob/ab81775ecf934b1a522fcd67ce8feff22c0e684f/gcc-4.6/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,jbruchon/gcc-ia16,https://github.com/jbruchon/gcc-ia16/blob/5853ef6a8e9334fb1e6d4a86dd92179d2dba9d32/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,xnox/linaro-gcc-4.7-src,https://github.com/xnox/linaro-gcc-4.7-src/blob/c4bad242e23b1f2e5c72f4e6e6962802152574b1/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,Alexpux/GCC,https://github.com/Alexpux/GCC/blob/aa975831372897ea35121b7b14d40572f4dbdb98/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,qvjp/gcc-inlow-6.1.0,https://github.com/qvjp/gcc-inlow-6.1.0/blob/094ae56e7ca3437b8c3dccd82428ea8d8453335f/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,distribute/gcc482,https://github.com/distribute/gcc482/blob/bbe94f40386c6983198401f8aab7eecc262911d6/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,alisw/gcc-toolchain,https://github.com/alisw/gcc-toolchain/blob/61a1fb6ff726551e5176ff72f903b996cbbf5d22/gcc-4.9.3/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,eduardogpg/KrabProtocol,https://github.com/eduardogpg/KrabProtocol/blob/79ddfd67db52e4993bec1fa55339eeb988827430/src/Cipher/Cipher.java,0,
0,tar-mirror/gcc,https://github.com/tar-mirror/gcc/blob/0e859657abc5f2e83358ca177bb824defd8ee057/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,openrisc/old-openrisc-svn,https://github.com/openrisc/old-openrisc-svn/blob/0456eb72d6cd0a5056a1d5050b08a560520c8a55/trunk/gnu-dev/or1k-gcc/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,openrisc/old-openrisc-svn,https://github.com/openrisc/old-openrisc-svn/blob/0456eb72d6cd0a5056a1d5050b08a560520c8a55/tags/gnu-dev/fsf-gcc-snapshot-1-mar-12/or1k-gcc/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,embecosm/avr-gcc,https://github.com/embecosm/avr-gcc/blob/2060056813eb7bad1fd44a1620cc5e0223bcb75a/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,r0j3r/gcc-4.7.4-hardened,https://github.com/r0j3r/gcc-4.7.4-hardened/blob/26539132d4a1b164d1fa3837c13895bcd42b5301/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,zitterbewegung/cs398,https://github.com/zitterbewegung/cs398/blob/ec9103a6276b1eb7990626990f0735ae5f8a2f61/jikesrvm/components/classpath/97.2p10/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,mkilgore/protura-gcc,https://github.com/mkilgore/protura-gcc/blob/0e86b56641f5ea0379cc532137688ec1a1759ab3/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,openrisc/or1k-gcc,https://github.com/openrisc/or1k-gcc/blob/432063b717d6e910331f4ff3d7baf84b37198f10/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,Scorpiion/Renux_cross_gcc,https://github.com/Scorpiion/Renux_cross_gcc/blob/109c64a9f1386541d1636958a2462ab7578be031/gcc-4.5.0/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,albertghtoun/gcc-libitm,https://github.com/albertghtoun/gcc-libitm/blob/881d687c1231a8831a5fe29032e2e3809794233c/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,Mustaavalkosta/toolchain_gcc,https://github.com/Mustaavalkosta/toolchain_gcc/blob/24797a3b1365611116fc30fb23e9126868b027da/gcc-4.8/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,ptriller/dcpu-gcc,https://github.com/ptriller/dcpu-gcc/blob/7c34f9387ff6b214df99285b9e9753a8317ad4c7/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,heliumfire/androux,https://github.com/heliumfire/androux/blob/cbc1882f7841caef914f98711d9a78b9732bcc15/gcc/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,montao/nios2-linux,https://github.com/montao/nios2-linux/blob/952a5d569a9efee4c8aa0bfbaf5db82605d978ef/nios2-linux/uClinux-dist/lib/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,periclesroalves/gcc-conair,https://github.com/periclesroalves/gcc-conair/blob/d389a4b7bbcd5e770963cb0f5db3569690dbdcb6/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,hermitcore/gcc,https://github.com/hermitcore/gcc/blob/c3be9f7fc868c8d1a894c7713b5f7ac7fc1df974/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,ModelWriter/DeAL,https://github.com/ModelWriter/DeAL/blob/1a2ebd5ff98121133769543f5b42e3492a6f3ae1/jikesrvm-3.1.0/components/classpath/97.2p8/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,pgavin/or1k-gcc,https://github.com/pgavin/or1k-gcc/blob/c8c877610f76c29da770e9cebdd53650fb0e03bf/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,jameshilliard/20-4-4,https://github.com/jameshilliard/20-4-4/blob/f5ca10b2b62e33cee52001e97b54f17cabd55854/gcc/gcc-4.2.0/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,embecosm/aap-gcc,https://github.com/embecosm/aap-gcc/blob/a9612c77598d4985ee73c9076ec607a7f2d96e51/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,libertine-linux-packages/gcc,https://github.com/libertine-linux-packages/gcc/blob/003b86c90ad0ecfa9db7d803aee2ff5f1fb8d11e/gcc-6.2.0/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,hisazumi/nxtdevenv,https://github.com/hisazumi/nxtdevenv/blob/9a690648203ca7a6481ce34bb60af30a0bc7d5d7/src/gcc-4.4.2/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,bftg/gcc-5.3.0,https://github.com/bftg/gcc-5.3.0/blob/8a09692c69fabeb8a2a6c9c659e6088952254b8e/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,gentoo/gcc,https://github.com/gentoo/gcc/blob/9d0507742960aa9f2b99bc6e9584655ecc611792/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
0,tjyang/cpam,https://github.com/tjyang/cpam/blob/e4035d6a8001ca8e62b1e4371273952405afc565/9.1addon/gcc-4.7.1/src/gcc-4.7.1/libjava/classpath/gnu/javax/crypto/jce/GnuCrypto.java,0,
