repository,file_url
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/src/freenet/crypt/KeyGenUtils.java
,
elastic/elasticsearch,https://github.com/elastic/elasticsearch/blob/72f57c8e72500cb27dc69e902edf5cd270249c14/x-pack/plugin/core/src/test/java/org/elasticsearch/xpack/core/watcher/crypto/CryptoServiceTests.java
,
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/4734de6fb0f80fe5768a6587aad3b9d0eaec388f/aws-java-sdk-s3/src/main/java/com/amazonaws/services/s3/internal/crypto/CryptoRuntime.java
,
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/4734de6fb0f80fe5768a6587aad3b9d0eaec388f/aws-java-sdk-s3/src/main/java/com/amazonaws/services/s3/model/KMSEncryptionMaterials.java
,
elastic/elasticsearch,https://github.com/elastic/elasticsearch/blob/6517ac98eb060baa63fe1e843f8526a117fcdcae/server/src/main/java/org/elasticsearch/common/settings/KeyStoreWrapper.java
,
elastic/elasticsearch,https://github.com/elastic/elasticsearch/blob/a8faf9768adb1c8a7426ceea59b776c977beaba8/x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ssl/PemUtils.java
,
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/src/freenet/crypt/MessageAuthCode.java
,
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/src/freenet/crypt/JceLoader.java
,
apache/hive,https://github.com/apache/hive/blob/20ce1c61c59c86c9d1bc91e5ef92ccc92dbae0a5/ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HivePreWarmProcessor.java
,
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/4734de6fb0f80fe5768a6587aad3b9d0eaec388f/aws-java-sdk-s3/src/main/java/com/amazonaws/services/s3/model/EncryptionMaterials.java
,
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/src/freenet/crypt/CryptByteBuffer.java
,
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/src/freenet/keys/ClientCHKBlock.java
,
